EMAPA:30777,Urogenital,Graafian follicle
EMAPA:31262,Urogenital,granulosa of ruptured follicle
EMAPA:19089,Urogenital,gubernaculum
EMAPA:28049,Urogenital,immature loop of Henle
EMAPA:35426,Urogenital,immature loop of Henle ascending limb
EMAPA:35427,Urogenital,immature loop of Henle descending limb
EMAPA:28370,Urogenital,inner medullary collecting duct
EMAPA:31399,Urogenital,inner medullary fibroblast
EMAPA:28364,Urogenital,inner medullary interstitium
EMAPA:28349,Urogenital,inner renal medulla
EMAPA:29675,Urogenital,inner stripe of outer medulla
EMAPA:28212,Urogenital,interlobular artery
EMAPA:28218,Urogenital,interlobular vein
EMAPA:32306,Urogenital,intermediate cell layer of dorsal pelvic urethra of female
EMAPA:32307,Urogenital,intermediate cell layer of dorsal pelvic urethra of male
EMAPA:32299,Urogenital,intermediate cell layer of prostatic urethra
EMAPA:28801,Urogenital,intermediate cell layer of ureter
EMAPA:32305,Urogenital,intermediate cell layer of ventral pelvic urethra of female
EMAPA:32314,Urogenital,intermediate cell layer of ventral pelvic urethra of male
EMAPA:29130,Urogenital,interstitial vessel
EMAPA:29607,Urogenital,interstitial vessel
EMAPA:29792,Urogenital,interstitium of bulbourethral gland
EMAPA:18687,Urogenital,interstitium of the testis
EMAPA:27991,Urogenital,juxtaglomerular arteriole
EMAPA:30449,Urogenital,juxtaglomerular complex
EMAPA:18676,Urogenital,kidney calyx
EMAPA:35459,Urogenital,kidney medulla collecting duct
EMAPA:35461,Urogenital,kidney outer medulla peritubular capillary
EMAPA:17948,Urogenital,kidney pelvis
EMAPA:30837,Urogenital,labia
EMAPA:18329,Urogenital,labial swelling
EMAPA:30423,Urogenital,labioscrotal swelling of female
EMAPA:30509,Urogenital,labioscrotal swelling of male
EMAPA:30088,Urogenital,lamina propria of bladder
EMAPA:32296,Urogenital,lamina propria of dorsal pelvic urethra of female
EMAPA:32311,Urogenital,lamina propria of dorsal pelvic urethra of male
EMAPA:30102,Urogenital,lamina propria of fundus
EMAPA:30116,Urogenital,lamina propria of neck
EMAPA:32303,Urogenital,lamina propria of prostatic urethra
EMAPA:30109,Urogenital,lamina propria of trigone
EMAPA:28841,Urogenital,lamina propria of ureter
EMAPA:32310,Urogenital,lamina propria of ventral pelvic urethra of female
EMAPA:32294,Urogenital,lamina propria of ventral pelvic urethra of male
EMAPA:28527,Urogenital,late tubule
EMAPA:29822,Urogenital,lateral prostate gland
EMAPA:29824,Urogenital,lateral prostatic epithelium
EMAPA:29830,Urogenital,lateral prostatic interstitium
EMAPA:29655,Urogenital,Leydig cell
EMAPA:30057,Urogenital,longitudinal muscle layer of ductus deferens
EMAPA:31266,Urogenital,longitudinal muscle layer of infundibulum
EMAPA:30053,Urogenital,longitudinal muscle layer of rest of oviduct
EMAPA:35510,Urogenital,loop of Henle ascending limb
EMAPA:35511,Urogenital,loop of Henle descending limb
EMAPA:35512,Urogenital,loop of Henle distal straight tubule
EMAPA:19280,Urogenital,loop of Henle group
EMAPA:29679,Urogenital,loop of Henle of inner stripe of outer medulla
EMAPA:29665,Urogenital,loop of Henle of outer stripe of outer medulla
EMAPA:35460,Urogenital,loop of Henle of renal medulla
EMAPA:35513,Urogenital,loop of Henle thick limb
EMAPA:35514,Urogenital,loop of Henle thin descending limb
EMAPA:35515,Urogenital,loop of Henle thin limb
EMAPA:28352,Urogenital,loop of Henle, inner medullary portion
EMAPA:28322,Urogenital,loop of Henle, outer medullary portion
EMAPA:27847,Urogenital,lower limb of comma-shaped body
EMAPA:27687,Urogenital,lower limb of comma-shaped body
EMAPA:18999,Urogenital,lower part of vagina
EMAPA:28399,Urogenital,macula densa
EMAPA:18677,Urogenital,major calyx
EMAPA:19285,Urogenital,male accessory gland
EMAPA:28533,Urogenital,male associated reproductive structure
EMAPA:29304,Urogenital,male cystic vesicular appendage
EMAPA:30977,Urogenital,male external genitalia
EMAPA:29310,Urogenital,male external inguinal ring
EMAPA:26913,Urogenital,male inguinal canal
EMAPA:29307,Urogenital,male inguinal ring
EMAPA:29313,Urogenital,male internal inguinal ring
EMAPA:17968,Urogenital,male reproductive system
EMAPA:35963,Urogenital,male reproductive system epithelium
EMAPA:35975,Urogenital,male reproductive system mesenchyme
EMAPA:29645,Urogenital,male urethral gland
EMAPA:28491,Urogenital,mature nephron
EMAPA:28236,Urogenital,mature renal corpuscle
EMAPA:27949,Urogenital,maturing glomerular tuft
EMAPA:28485,Urogenital,maturing nephron
EMAPA:27943,Urogenital,maturing renal corpuscle
EMAPA:27762,Urogenital,medial segment of s-shaped body
EMAPA:27877,Urogenital,medial segment of s-shaped body
EMAPA:29637,Urogenital,median umbilical ligament
EMAPA:18331,Urogenital,mediastinum testis
EMAPA:28061,Urogenital,medullary collecting duct
EMAPA:29014,Urogenital,medullary component of mesenchymal stroma
EMAPA:31414,Urogenital,medullary renal tubule
EMAPA:35557,Urogenital,medullary tubule
EMAPA:28965,Urogenital,meiotic germ cell of ovary
EMAPA:31025,Urogenital,meiotic oocyte
EMAPA:30827,Urogenital,mesenchymal layer of crus of clitoris
EMAPA:31575,Urogenital,mesenchymal layer of dorsal pelvic urethra
EMAPA:31554,Urogenital,mesenchymal layer of dorsal pelvic urethra of female
EMAPA:31552,Urogenital,mesenchymal layer of dorsal pelvic urethra of male
EMAPA:31529,Urogenital,mesenchymal layer of dorsal primitive bladder
EMAPA:32270,Urogenital,mesenchymal layer of ejaculatory duct
EMAPA:30833,Urogenital,mesenchymal layer of glans clitoris
EMAPA:30841,Urogenital,mesenchymal layer of labia
EMAPA:30433,Urogenital,mesenchymal layer of labial swelling
EMAPA:32259,Urogenital,mesenchymal layer of lower part of vagina
EMAPA:30907,Urogenital,mesenchymal layer of pelvic urethra
EMAPA:28765,Urogenital,mesenchymal layer of pelvic urethra of female
EMAPA:28703,Urogenital,mesenchymal layer of pelvic urethra of male
EMAPA:30948,Urogenital,mesenchymal layer of penile urethra
EMAPA:30934,Urogenital,mesenchymal layer of phallic urethra of female
EMAPA:28856,Urogenital,mesenchymal layer of phallic urethra of male
EMAPA:30876,Urogenital,mesenchymal layer of primitive bladder
EMAPA:30954,Urogenital,mesenchymal layer of prostatic urethra
EMAPA:30885,Urogenital,mesenchymal layer of rest of urogenital sinus
EMAPA:32272,Urogenital,mesenchymal layer of upper part of vagina
EMAPA:31574,Urogenital,mesenchymal layer of ventral pelvic urethra
EMAPA:31553,Urogenital,mesenchymal layer of ventral pelvic urethra of female
EMAPA:31550,Urogenital,mesenchymal layer of ventral pelvic urethra of male
EMAPA:31525,Urogenital,mesenchymal layer of ventral primitive bladder
EMAPA:32287,Urogenital,mesenchymal pad of pelvic urethra of female
EMAPA:32280,Urogenital,mesenchymal pad of pelvic urethra of male
EMAPA:28880,Urogenital,mesenchymal stroma of ovary
EMAPA:30725,Urogenital,mesenchyme of crus of clitoris
EMAPA:30664,Urogenital,mesenchyme of crus penis
EMAPA:35558,Urogenital,mesenchyme of degenerating paramesonephric duct of male
EMAPA:29202,Urogenital,mesenchyme of degenerating rest of paramesonephric duct of male
EMAPA:30487,Urogenital,mesenchyme of distal genital tubercle of female
EMAPA:29207,Urogenital,mesenchyme of distal genital tubercle of male
EMAPA:30493,Urogenital,mesenchyme of female preputial swelling
EMAPA:30715,Urogenital,mesenchyme of glans clitoris
EMAPA:29254,Urogenital,mesenchyme of glans of male genital tubercle
EMAPA:30642,Urogenital,mesenchyme of glans penis
EMAPA:30426,Urogenital,mesenchyme of labioscrotal swelling of female
EMAPA:30512,Urogenital,mesenchyme of labioscrotal swelling of male
EMAPA:29226,Urogenital,mesenchyme of male preputial swelling
EMAPA:35559,Urogenital,mesenchyme of paramesonephric duct of female
EMAPA:30072,Urogenital,mesenchyme of paramesonephric duct of female, mesonephric portion
EMAPA:35560,Urogenital,mesenchyme of paramesonephric duct of male
EMAPA:31573,Urogenital,mesenchyme of pelvic urethra
EMAPA:31534,Urogenital,mesenchyme of proximal genital tubercle of female
EMAPA:31501,Urogenital,mesenchyme of proximal genital tubercle of male
EMAPA:28953,Urogenital,mesenchyme of rest of nephric duct of female
EMAPA:29177,Urogenital,mesenchyme of rest of nephric duct of male
EMAPA:28961,Urogenital,mesenchyme of rest of paramesonephric duct of female
EMAPA:29189,Urogenital,mesenchyme of rest of paramesonephric duct of male
EMAPA:31500,Urogenital,mesenchyme of urogenital sinus
EMAPA:31519,Urogenital,mesenchyme of urogenital sinus
EMAPA:35562,Urogenital,mesometrium
EMAPA:30568,Urogenital,mesonephric glomerulus
EMAPA:30580,Urogenital,mesonephric glomerulus
EMAPA:30547,Urogenital,mesonephric glomerulus of female
EMAPA:30532,Urogenital,mesonephric glomerulus of male
EMAPA:30560,Urogenital,mesonephric glomerulus of male
EMAPA:27585,Urogenital,mesonephric mesenchyme
EMAPA:27661,Urogenital,mesonephric mesenchyme
EMAPA:28914,Urogenital,mesonephric mesenchyme of female
EMAPA:29143,Urogenital,mesonephric mesenchyme of male
EMAPA:27659,Urogenital,mesonephric tubule
EMAPA:16747,Urogenital,mesonephric tubule
EMAPA:27588,Urogenital,mesonephric tubule
EMAPA:28919,Urogenital,mesonephric tubule of female
EMAPA:29148,Urogenital,mesonephric tubule of male
EMAPA:27644,Urogenital,mesonephros
EMAPA:16744,Urogenital,mesonephros
EMAPA:16745,Urogenital,mesonephros mesenchyme
EMAPA:35563,Urogenital,mesonephros mesenchyme
EMAPA:16746,Urogenital,mesonephros non-tubular part
EMAPA:35565,Urogenital,mesonephros non-tubular part
EMAPA:35564,Urogenital,mesonephros non-tubular part
EMAPA:28909,Urogenital,mesonephros of female
EMAPA:29138,Urogenital,mesonephros of male
EMAPA:35566,Urogenital,mesonephros tubule
