ANO_PUBLIC_ID,POP_PERSPECTIVE_FK,ANO_COMPONENT_NAME
EMAPA:31540,Renal,"renal connecting segment of renal vesicle"
EMAPA:31541,Renal,"renal connecting segment of renal vesicle"
EMAPA:28011,Renal,"renal connecting tubule"
EMAPA:27790,Renal,"renal connecting tubule of capillary loop nephron"
EMAPA:31515,Renal,"renal connecting tubule of capillary loop nephron"
EMAPA:31517,Renal,"renal connecting tubule of mature nephron"
EMAPA:31516,Renal,"renal connecting tubule of maturing nephron"
EMAPA:27865,Renal,"renal connecting tubule of s-shaped body"
EMAPA:27758,Renal,"renal connecting tubule of s-shaped body"
EMAPA:35725,Renal,"renal convoluted tubule"
EMAPA:35726,Renal,"renal corpuscle"
EMAPA:17952,Renal,"renal cortex"
EMAPA:28147,Renal,"renal cortical arterial system"
EMAPA:30037,Renal,"renal cortical capillary"
EMAPA:31288,Renal,"renal cortical fibroblasts"
EMAPA:28136,Renal,"renal cortical interstitium"
EMAPA:31312,Renal,"renal cortical lymphatics"
EMAPA:31319,Renal,"renal cortical nerves"
EMAPA:28142,Renal,"renal cortical vasculature"
EMAPA:28152,Renal,"renal cortical venous system"
EMAPA:28387,Renal,"renal distal tubule"
EMAPA:31279,Renal,"renal fibroblasts"
EMAPA:27690,Renal,"renal interstitium"
EMAPA:28518,Renal,"renal interstitium group"
EMAPA:31464,Renal,"renal large blood vessel"
EMAPA:19279,Renal,"renal medulla"
EMAPA:28162,Renal,"renal medullary arterial system"
EMAPA:30043,Renal,"renal medullary capillary"
EMAPA:31326,Renal,"renal medullary fibroblasts"
EMAPA:18326,Renal,"renal medullary interstitium"
EMAPA:31347,Renal,"renal medullary lymphatics"
EMAPA:31354,Renal,"renal medullary nerves"
EMAPA:28157,Renal,"renal medullary vasculature"
EMAPA:28167,Renal,"renal medullary venous system"
EMAPA:29691,Renal,"renal nerve"
EMAPA:35727,Renal,"renal papilla"
EMAPA:28287,Renal,"renal proximal convoluted tubule"
EMAPA:28281,Renal,"renal proximal tubule"
EMAPA:31469,Renal,"renal small blood vessel"
EMAPA:27782,Renal,"renal tubule"
EMAPA:28457,Renal,"renal vasculature"
EMAPA:28376,Renal,"renal vein"
EMAPA:19223,Renal,"renal vein"
EMAPA:31450,Renal,"renal venous system"
