ANO_PUBLIC_ID,POP_PERSPECTIVE_FK,ANO_COMPONENT_NAME
EMAPA:36002,"Whole mouse","auditory system"
EMAPA:35157,"Whole mouse",auricle
EMAPA:35158,"Whole mouse","auricular cartilage"
EMAPA:35159,"Whole mouse","auricular muscle"
EMAPA:18221,"Whole mouse","autonomic ganglion"
EMAPA:18224,"Whole mouse","autonomic nerve plexus"
EMAPA:16984,"Whole mouse","autonomic nervous system"
EMAPA:32722,"Whole mouse",autopod
EMAPA:35160,"Whole mouse","autopod joint"
EMAPA:32723,"Whole mouse","autopod skin"
EMAPA:18167,"Whole mouse","axial muscle"
EMAPA:18166,"Whole mouse","axial musculature"
EMAPA:17214,"Whole mouse","axial skeleton"
EMAPA:17215,"Whole mouse","axial skeleton cervical region"
EMAPA:17393,"Whole mouse","axial skeleton lumbar region"
EMAPA:17676,"Whole mouse","axial skeleton sacral region"
EMAPA:18043,"Whole mouse","axial skeleton tail region"
EMAPA:17396,"Whole mouse","axial skeleton thoracic region"
EMAPA:18749,"Whole mouse","axillary artery"
EMAPA:18802,"Whole mouse","axillary nerve"
EMAPA:18758,"Whole mouse","axillary vein"
EMAPA:18250,"Whole mouse","azygos vein"
EMAPA:35161,"Whole mouse","back musculature"
EMAPA:35162,"Whole mouse","back of trunk"
EMAPA:35163,"Whole mouse","barrel cortex"
EMAPA:32274,"Whole mouse","basal cell layer of bladder"
EMAPA:32267,"Whole mouse","basal cell layer of dorsal pelvic urethra of female"
EMAPA:32260,"Whole mouse","basal cell layer of dorsal pelvic urethra of male"
EMAPA:32271,"Whole mouse","basal cell layer of prostatic urethra"
EMAPA:28806,"Whole mouse","basal cell layer of ureter"
EMAPA:32292,"Whole mouse","basal cell layer of ventral pelvic urethra of female"
EMAPA:32261,"Whole mouse","basal cell layer of ventral pelvic urethra of male"
EMAPA:17582,"Whole mouse","basal columns"
EMAPA:29735,"Whole mouse","basal epidermal layer of scrotum"
EMAPA:29800,"Whole mouse","basal epithelium of anterior prostate"
EMAPA:29814,"Whole mouse","basal epithelium of dorsal prostate"
