NPL_OID,NPL_PERSPECTIVE_FK,NPL_NODE_FK
879,Urogenital,12942
880,Urogenital,12954
881,Urogenital,12958
882,Urogenital,12961
883,Urogenital,12976
884,Urogenital,12979
885,Urogenital,12983
886,Urogenital,12996
887,Urogenital,12999
888,Urogenital,13006
889,Urogenital,13014
890,Urogenital,13019
891,Urogenital,13026
892,Urogenital,13031
893,Urogenital,13060
894,Urogenital,13077
895,Urogenital,13083
896,Urogenital,13089
897,Urogenital,13098
898,Urogenital,13108
899,Urogenital,13112
900,Urogenital,13116
901,Urogenital,13120
902,Urogenital,13125
903,Urogenital,13133
904,Urogenital,13141
905,Urogenital,13145
906,Urogenital,13170
907,Urogenital,13177
908,Urogenital,13184
909,Urogenital,13228
910,Urogenital,13232
911,Urogenital,13236
912,Urogenital,13240
913,Urogenital,13247
914,Urogenital,13255
915,Urogenital,13262
916,Urogenital,13269
917,Urogenital,13306
918,Urogenital,13316
919,Urogenital,13320
920,Urogenital,13325
921,Urogenital,13330
922,Urogenital,13335
923,Urogenital,13339
924,Urogenital,13342
925,Urogenital,13346
926,Urogenital,13350
927,Urogenital,13382
928,Urogenital,13391
929,Urogenital,13400
930,Urogenital,13418
931,Urogenital,13428
932,Urogenital,13436
933,Urogenital,13443
934,Urogenital,13473
935,Urogenital,13477
936,Urogenital,13486
937,Urogenital,13501
938,Urogenital,13508
939,Urogenital,13515
940,Urogenital,13521
941,Urogenital,13525
942,Urogenital,13529
943,Urogenital,13534
944,Urogenital,13539
945,Urogenital,13545
946,Urogenital,13550
947,Urogenital,13555
948,Urogenital,13560
949,Urogenital,13565
950,Urogenital,13569
951,Urogenital,13573
952,Urogenital,13578
953,Urogenital,13594
954,Urogenital,13600
955,Urogenital,13606
956,Urogenital,13614
957,Urogenital,13620
958,Urogenital,13626
959,Urogenital,13630
960,Urogenital,13637
961,Urogenital,13642
962,Urogenital,13646
963,Urogenital,13652
964,Urogenital,13657
965,Urogenital,13662
966,Urogenital,13667
967,Urogenital,13672
968,Urogenital,13677
969,Urogenital,13686
970,Urogenital,13708
971,Urogenital,13736
972,Urogenital,13743
973,Urogenital,13828
974,Urogenital,13854
975,Urogenital,13860
976,Urogenital,13865
977,Urogenital,13870
978,Urogenital,13914
979,Urogenital,13919
980,Urogenital,13924
981,Urogenital,13929
982,Urogenital,13934
983,Urogenital,13958
984,Urogenital,13961
985,Urogenital,13967
986,Urogenital,13970
987,Urogenital,13973
988,Urogenital,13976
989,Urogenital,13979
990,Urogenital,26945
991,Urogenital,26955
992,Urogenital,26962
993,Urogenital,26967
994,Urogenital,26973
995,Urogenital,26988
996,Urogenital,26993
997,Urogenital,27001
998,Urogenital,27007
999,Urogenital,27017
1000,Urogenital,27026
1001,Urogenital,27035
1002,Urogenital,27055
1003,Urogenital,27065
1004,Urogenital,27079
1005,Urogenital,28766
1006,Urogenital,28767
1007,Urogenital,28768
1008,Urogenital,28769
1009,Urogenital,28770
1010,Urogenital,28771
1011,Urogenital,28772
1012,Urogenital,28773
1013,Urogenital,28774
1014,Urogenital,28775
1015,Urogenital,28777
1016,Urogenital,28778
1017,Urogenital,28779
1018,Urogenital,28780
1019,Urogenital,28784
1020,Urogenital,28785
1021,Urogenital,28786
1022,Urogenital,28788
1023,Urogenital,28789
1024,Urogenital,28790
1025,Urogenital,28792
1026,Urogenital,28793
1027,Urogenital,28794
1028,Urogenital,28795
1029,Urogenital,28796
1030,Urogenital,28798
1031,Urogenital,28802
1032,Urogenital,28803
1033,Urogenital,28804
1034,Urogenital,28806
1035,Urogenital,28807
1036,Urogenital,28808
1037,Urogenital,28809
1038,Urogenital,28811
1039,Urogenital,28812
1040,Urogenital,28813
1041,Urogenital,28814
1042,Urogenital,28815
1043,Urogenital,28816
1044,Urogenital,28817
1045,Urogenital,28818
1046,Urogenital,28819
1047,Urogenital,28820
1048,Urogenital,28821
1049,Urogenital,28822
1050,Urogenital,28823
1051,Urogenital,28824
1052,Urogenital,28825
1053,Urogenital,28831
1054,Urogenital,28832
1055,Urogenital,28833
1056,Urogenital,28834
1057,Urogenital,28835
1058,Urogenital,28836
1059,Urogenital,28837
1060,Urogenital,28839
1061,Urogenital,28840
1062,Urogenital,28841
1063,Urogenital,28844
1064,Urogenital,28845
1065,Urogenital,28846
1066,Urogenital,28847
1067,Urogenital,28848
1068,Urogenital,28849
1069,Urogenital,28850
1070,Urogenital,28851
1071,Urogenital,28852
1072,Urogenital,28853
1073,Urogenital,28854
1074,Urogenital,28855
1075,Urogenital,28856
1076,Urogenital,28861
1077,Urogenital,28862
1078,Urogenital,28863
1079,Urogenital,28864
1080,Urogenital,28865
1081,Urogenital,28866
1082,Urogenital,28867
1083,Urogenital,28868
1084,Urogenital,28869
1085,Urogenital,28870
1086,Urogenital,28871
1087,Urogenital,28872
1088,Urogenital,28873
1089,Urogenital,28874
1090,Urogenital,28875
1091,Urogenital,28879
1092,Urogenital,28880
1093,Urogenital,28881
1094,Urogenital,28883
1095,Urogenital,28884
1096,Urogenital,28885
1097,Urogenital,28886
1098,Urogenital,28893
1099,Urogenital,28894
1100,Urogenital,28896
1101,Urogenital,28897
1102,Urogenital,28898
1103,Urogenital,28899
1104,Urogenital,28900
1105,Urogenital,28904
1106,Urogenital,28912
1107,Urogenital,28913
1108,Urogenital,28914
1109,Urogenital,28917
1110,Urogenital,28918
1111,Urogenital,28919
1112,Urogenital,28920
1113,Urogenital,28921
1114,Urogenital,28922
1115,Urogenital,28923
1116,Urogenital,28924
1117,Urogenital,28925
1118,Urogenital,28926
1119,Urogenital,28927
1120,Urogenital,28928
1121,Urogenital,28929
1122,Urogenital,28930
1123,Urogenital,28932
1124,Urogenital,28933
1125,Urogenital,28934
1126,Urogenital,28935
1127,Urogenital,28936
1128,Urogenital,28937
1129,Urogenital,28938
1130,Urogenital,28939
1131,Urogenital,28940
1132,Urogenital,28941
1133,Urogenital,28943
1134,Urogenital,28944
1135,Urogenital,28945
1136,Urogenital,28946
1137,Urogenital,28947
1138,Urogenital,28948
1139,Urogenital,28949
1140,Urogenital,28950
1141,Urogenital,28951
1142,Urogenital,28952
1143,Urogenital,28953
1144,Urogenital,28958
1145,Urogenital,28959
1146,Urogenital,28960
1147,Urogenital,28961
1148,Urogenital,28962
1149,Urogenital,28963
1150,Urogenital,28964
1151,Urogenital,28965
1152,Urogenital,28968
1153,Urogenital,28969
1154,Urogenital,28970
1155,Urogenital,28972
1156,Urogenital,28973
1157,Urogenital,28974
1158,Urogenital,28976
1159,Urogenital,28977
1160,Urogenital,28978
1161,Urogenital,28981
1162,Urogenital,28982
1163,Urogenital,28984
1164,Urogenital,28985
1165,Urogenital,28986
1166,Urogenital,28987
1167,Urogenital,28988
1168,Urogenital,28989
1169,Urogenital,28990
1170,Urogenital,28991
1171,Urogenital,28992
1172,Urogenital,28993
1173,Urogenital,28994
1174,Urogenital,28995
1175,Urogenital,28996
1176,Urogenital,28997
1177,Urogenital,28998
1178,Urogenital,28999
1179,Urogenital,29000
1180,Urogenital,29001
1181,Urogenital,29002
1182,Urogenital,29003
1183,Urogenital,29004
1184,Urogenital,29005
1185,Urogenital,29006
1186,Urogenital,29007
1187,Urogenital,29008
1188,Urogenital,29009
1189,Urogenital,29010
1190,Urogenital,29011
1191,Urogenital,30101
1192,Urogenital,30102
1193,Urogenital,30103
